run,app,profile,timestamp,syncInterval,GET,POST,PATCH
1,local-first,no,2025-06-13T21:31:36.654Z,60,5,5,5
1,local-first,no,2025-06-13T21:41:01.131Z,60,5,25,25
2,local-first,no,2025-06-13T22:00:37.414Z,60,5,5,5
2,local-first,no,2025-06-13T22:09:56.623Z,60,5,25,25
3,local-first,no,2025-06-13T22:29:32.579Z,60,5,5,5
3,local-first,no,2025-06-13T22:38:48.667Z,60,5,25,25
4,local-first,no,2025-06-13T22:58:25.765Z,60,5,5,5
4,local-first,no,2025-06-13T23:07:49.386Z,60,5,25,25
5,local-first,no,2025-06-13T23:27:28.196Z,60,5,5,5
5,local-first,no,2025-06-13T23:36:56.513Z,60,5,25,25
1,cloud,no,2025-06-13T23:55:45.045Z,60,33,5,5
1,cloud,no,2025-06-14T00:04:29.567Z,60,153,25,25
2,cloud,no,2025-06-14T00:23:40.832Z,60,33,5,5
2,cloud,no,2025-06-14T00:32:29.321Z,60,153,25,25
3,cloud,no,2025-06-14T00:51:40.065Z,60,33,5,5
3,cloud,no,2025-06-14T01:00:29.027Z,60,153,25,25
4,cloud,no,2025-06-14T01:19:40.181Z,60,33,5,5
4,cloud,no,2025-06-14T01:28:28.976Z,60,153,25,25
5,cloud,no,2025-06-14T01:47:40.351Z,60,33,5,5
5,cloud,no,2025-06-14T01:56:18.551Z,60,153,25,25
1,local-first,no,2025-06-14T22:12:11.856Z,30,10,5,5
1,local-first,no,2025-06-14T22:20:50.479Z,30,10,25,25
2,local-first,no,2025-06-14T22:39:50.894Z,30,10,5,5
2,local-first,no,2025-06-14T22:48:40.778Z,30,10,25,25
3,local-first,no,2025-06-14T23:07:43.896Z,30,10,5,5
3,local-first,no,2025-06-14T23:16:31.612Z,30,10,25,25
4,local-first,no,2025-06-14T23:35:31.538Z,30,10,5,5
4,local-first,no,2025-06-14T23:44:21.246Z,30,10,25,25
5,local-first,no,2025-06-15T00:03:25.497Z,30,10,5,5
5,local-first,no,2025-06-15T00:12:12.689Z,30,10,25,25
